,StateCodeUS,Records
0,MM,1
1,XT,1
2,.F,1
3,51,1
4,PC,1
5,JH,1
6,TB,1
7,BW,1
8,PS,1
9,DR,1
10,PF,1
11,JI,1
12,NX,1
13,SM,1
14,22,1
15,35,1
16,UL,1
17,.O,1
18,HH,1
19,S7,1
20,98,1
21,AD,1
22,HV,1
23,B6,1
24,WU,1
25,96,1
26,LL,1
27,HP,1
28,FY,1
29,LR,1
30,18,1
31,FS,1
32,LB,1
33,LX,1
34,26,1
35,GZ,1
36,YY,1
37,89,1
38,77,1
39,HC,1
40,EN,1
41,.K,1
42,PB,1
43,D,1
44,O,1
45,MR,1
46,OD,1
47,CR,1
48,SX,1
49,.M,1
50,JN,1
51,B7,1
52,23,1
53,YV,1
54,WQ,1
55,TZ,1
56,.A,1
57,FX,1
58,95,1
59,08,1
60,LC,1
61,38,1
62,MQ,1
63,02,1
64,N0,1
65,82,1
66,UP,1
67,TD,1
68,XA,1
69,HS,1
70,DG,1
71,JO,1
72,JL,1
73,MV,1
74,QY,1
75,FJ,1
76,EW,1
77,SK,1
78,RL,1
79,MU,1
80,LS,1
81,MZ,1
82,GD,1
83,LZ,1
84,9,1
85,JU,1
86,FN,1
87,SH,1
88,MF,1
89,GY,1
90,CE,1
91,N.,1
92,RN,1
93,WD,1
94,CP,1
95,UU,1
96,QR,1
97,CY,1
98,.9,1
99,AH,1
100,GS,1
101,WH,1
102,RJ,1
103,3R,1
104,KH,1
105,IZ,1
106,NG,1
107,C0,1
108,TF,1
109,L3,1
110,.H,1
111,76,1
112,VN,1
113,2,1
114,BB,1
115,RT,1
116,HB,1
117,M8,1
118,50,1
119,AO,1
120,AX,1
121,RG,2
122,FT,2
123,EA,2
124,NL,2
125,FC,2
126,11,2
127,UV,2
128,34,2
129,EX,2
130,85,2
131,LF,2
132,GO,2
133,CG,2
134,CZ,2
135,IF,2
136,FW,2
137,IW,2
138,WO,2
139,TW,2
140,61,2
141,PY,2
142,LY,2
143,46,2
144,IR,2
145,EC,2
146,BH,2
147,OX,2
148,90,2
149,MB,2
150,55,2
151,OG,2
152,44,2
153,CC,2
154,PX,2
155,92,2
156,EY,2
157,81,2
158,W,2
159,JT,2
160,84,2
161,LV,2
162,ZU,2
163,LG,2
164,DT,2
165,32,2
166,BJ,2
167,CS,2
168,20,2
169,SN,2
170,NZ,2
171,YX,2
172,JK,2
173,JW,2
174,HT,2
175,P,2
176,NI,2
177,12,2
178,ER,2
179,HE,2
180,.D,2
181,FD,2
182,ED,2
183,VO,2
184,TK,2
185,G5,2
186,TC,3
187,RE,3
188,RY,3
189,UM,3
190,OL,3
191,SV,3
192,70,3
193,BD,3
194,TP,3
195,U,3
196,DU,3
197,ZA,3
198,KC,3
199,TS,3
200,LH,3
201,UH,3
202,GI,3
203,LP,3
204,S,3
205,MH,3
206,TH,3
207,KN,3
208,DS,3
209,EZ,3
210,BV,3
211,I,3
212,OT,3
213,JE,3
214,EU,3
215,KO,3
216,.I,3
217,WN,3
218,.N,4
219,RF,4
220,PI,4
221,YN,4
222,PL,4
223,WC,4
224,EE,4
225,PD,4
226,FG,4
227,TI,4
228,SW,4
229,RU,4
230,IQ,4
231,LN,4
232,BN,4
233,CV,4
234,GB,4
235,M,4
236,PV,4
237,PO,4
238,AI,4
239,YO,4
240,MG,4
241,KT,4
242,ET,4
243,WS,4
244,IU,4
245,LU,4
246,.T,4
247,80,4
248,GL,5
249,HY,5
250,TU,5
251,PT,5
252,HK,5
253,00,5
254,IH,5
255,SP,5
256,60,5
257,PN,5
258,RD,5
259,AG,5
260,HU,5
261,ML,5
262,SY,5
263,YU,5
264,RO,6
265,SL,6
266,DV,6
267,BS,6
268,HW,6
269,BU,6
270,Y,6
271,BL,6
272,TQ,6
273,KU,6
274,QA,6
275,94,6
276,IS,6
277,SQ,6
278,AM,7
279,QL,7
280,NT,7
281,DN,7
282,FK,7
283,L,7
284,CU,7
285,AB,7
286,DO,7
287,FA,7
288,YM,7
289,CD,7
290,FI,8
291,NP,8
292,QC,8
293,T,8
294,MY,8
295,FR,8
296,NN,8
297,EL,8
298,PP,8
299,CI,9
300,VG,9
301,WE,9
302,C,9
303,A,9
304,33,9
305,FO,9
306,UK,9
307,SI,9
308,V,10
309,NR,10
310,AP,10
311,99,11
312,DL,11
313,HL,11
314,10,11
315,BE,11
316,TA,11
317,UA,12
318,ES,12
319,FF,13
320,LI,14
321,SU,14
322,N,14
323,SE,14
324,AS,14
325,EQ,15
326,JP,15
327,AE,16
328,H,16
329,ON,17
330,JQ,17
331,OA,18
332,RH,18
333,II,18
334,F,20
335,VE,20
336,X,20
337,GR,20
338,BA,20
339,QU,20
340,NS,21
341,.C,21
342,PU,23
343,CN,23
344,0,23
345,IO,24
346,ST,24
347,TO,26
348,DA,26
349,AU,27
350,KE,27
351,JA,28
352,..,30
353,CQ,30
354,MX,32
355,BR,32
356,PH,35
357,KA,35
358,AT,37
359,SF,37
360,DI,38
361,SJ,39
362,NW,41
363,BQ,42
364,KI,43
365,BC,44
366,HO,44
367,IT,45
368,CL,47
369,CH,60
370,YQ,71
371,NU,73
372,NA,77
373,HN,77
374,PE,77
375,BO,80
376,AN,84
377,DF,86
378,NO,88
379,MC,89
380,SO,103
381,AA,118
382,SA,125
383,JF,143
384,VI,189
385,TT,203
386,LO,209
387,NB,259
388,TR,313
389,GE,344
390,RQ,376
391,HA,379
392,SD,478
393,XX,517
394,GQ,665
395,WY,760
396,WV,857
397,ND,864
398,TE,872
399,UN,1400
400,MT,1461
401,MS,1801
402,ID,1818
403,NM,2096
404,ME,2458
405,AK,2592
406,KS,2766
407,AR,2815
408,RI,2822
409,IA,3067
410,DE,3105
411,VT,3165
412,OK,3365
413,NH,3751
414,KY,4602
415,MP,4736
416,VQ,5330
417,MO,6358
418,WI,6763
419,US,7419
420,AL,7728
421,SC,8078
422,MN,9069
423,IN,9726
424,UT,10175
425,TN,10638
426,CT,13015
427,OR,13749
428,PR,14545
429,OH,16926
430,LA,17706
431,NC,20103
432,MD,23308
433,AZ,24333
434,NE,24810
435,MI,25908
436,PA,29006
437,VA,30509
438,CO,30900
439,DC,30925
440,GA,41462
441,WA,52592
442,NJ,61384
443,IL,70130
444,MA,74434
445,NV,101078
446,GU,119435
447,TX,145347
448,,163401
449,HI,176540
450,CA,477069
451,NY,524046
452,FL,694386
